timestamp,temp,pressure,humidity,wind_speed,clouds
2022-04-02,274.55,1006,61,6.17,0
2022-04-03,274.36,1012,63,4.12,0
2022-04-04,277.75,995,58,7.2,0
2022-04-05,277.6,997,66,2.57,0
2022-04-06,282.51,997,86,3.09,0
2022-04-07,286.96,982,65,6.69,40
2022-04-08,278.96,992,76,2.57,0
2022-04-09,277.72,1002,61,2.57,0
2022-04-10,275.51,1012,77,2.06,0
2022-04-11,277.39,1016,80,2.06,20
2022-04-12,278.19,1020,57,1.03,0
2022-04-13,281.78,1019,53,1.34,0
2022-04-14,286.84,1014,46,1.54,0
2022-04-15,281.23,1017,88,8.23,75
2022-04-16,279.49,1024,55,5.14,0
2022-04-17,278.69,1016,48,2.06,0
2022-04-18,279.07,1010,65,3.09,20
2022-04-19,278.22,1011,78,4.63,20
2022-04-20,279.93,1009,94,3.6,100
2022-04-21,281.68,1009,84,1.54,20
2022-04-22,280.02,1009,78,2.57,0
2022-04-23,281.67,1004,77,3.6,75
2022-04-24,283.61,1001,79,4.63,75
2022-04-25,282.16,1007,85,2.57,75
2022-04-26,282.28,1017,81,2.06,0
2022-04-27,282.95,1022,67,2.57,0
2022-04-28,282.6,1026,63,2.06,0
2022-04-29,282.84,1023,75,1.03,0
2022-04-30,283.72,1020,57,1.03,0
2022-05-01,285.37,1015,61,1.03,0
2022-05-02,285.09,1013,64,1.54,0
2022-05-03,284.13,1015,61,3.6,0
2022-05-04,284.03,1018,43,4.63,0
2022-05-05,288.64,1018,51,4.12,0
2022-05-06,285.15,1020,68,1.54,0
2022-05-07,286.84,1018,73,0.0,0
2022-05-08,285.92,1024,54,5.66,0
2022-05-09,283.48,1024,43,3.09,0
2022-05-10,286.37,1013,46,3.09,0
2022-05-11,292.68,1007,58,2.57,0
2022-05-12,286.6,1014,63,2.57,0
2022-05-13,286.16,1012,81,4.12,20
2022-05-14,284.83,1013,69,3.09,0
2022-05-15,286.41,1016,61,1.54,0
2022-05-16,286.29,1018,51,1.03,0
2022-05-17,282.18,1022,45,7.2,0
2022-05-18,283.79,1025,49,0.0,0
2022-05-19,288.69,1018,50,2.06,0
2022-05-20,290.76,1009,63,1.03,0
2022-05-21,285.2,1007,86,6.69,40
2022-05-22,283.68,1010,84,6.69,75
2022-05-23,286.4,1007,72,2.06,0
2022-05-24,287.86,1009,90,3.09,75
2022-05-25,285.27,1012,93,1.54,75
2022-05-26,288.87,1013,70,6.17,0
2022-05-27,282.56,1007,76,3.09,0
2022-05-28,282.75,1008,91,4.63,0
2022-05-29,285.66,1009,79,1.03,0
2022-05-30,282.39,1012,89,1.54,0
2022-05-31,288.45,1014,60,3.6,0
2022-06-01,286.46,1012,76,21.01,0
2022-06-02,285.03,1019,80,0.0,0
2022-06-03,289.31,1019,64,2.06,0
2022-06-04,292.01,1017,66,5.14,0
2022-06-05,290.27,1015,62,2.57,0
2022-06-06,293.35,1013,71,2.06,0
2022-06-07,291.54,1010,88,2.57,20
2022-06-08,290.52,1007,92,0.0,100
2022-06-09,292.8,1008,93,4.63,20
2022-06-10,290.82,1017,88,3.6,0
2022-06-11,290.83,1019,77,1.54,0
2022-06-12,291.77,1015,68,1.54,0
2022-06-13,285.75,1012,94,3.09,0
2022-06-14,286.31,1016,78,2.57,0
2022-06-15,287.55,1017,84,0.0,0
2022-06-16,289.8,1014,85,4.12,0
2022-06-17,289.25,1019,79,1.03,0
2022-06-18,294.53,1011,66,2.57,0
2022-06-19,298.08,1005,56,3.09,0
2022-06-20,289.58,1003,94,6.17,75
